,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Democrats,"We are facing a precarious situation with Iran

That’s why Democrats are urging @SenateMajLdr McConnell to keep his… https://t.co/coJ4G4sY2G",Senate Democrats,19,0.0,1.0,0.0,0.0
1,Democrats,The Trump administration is actively suing to eliminate health care protections for Americans with pre-existing con… https://t.co/BAEsFjqgKK,Senate Democrats,17,0.097,0.648,0.255,0.5267
2,Democrats,President @realDonaldTrump's administration is continuing its health care sabotage by fighting in court to repeal o… https://t.co/oScsmgG3Zj,Senate Democrats,17,0.255,0.606,0.139,-0.4019
3,Democrats,"“Our colleagues in the House passed a bipartisan background check bill 115 days ago, but instead of calling for a v… https://t.co/ENQ4V0wqGX",Senate Democrats,22,0.0,1.0,0.0,0.0
4,Democrats,"@sfc_opinions “Unfortunately, Congress isn’t acting. Republican Senate Majority Leader Mitch McConnell, R-Kentucky.… https://t.co/8DxycoDYur",Senate Democrats,13,0.0,1.0,0.0,0.0
5,Democrats,@sfc_opinions “There are no ‘ifs’ about it. A candidate for public office accepting anything of value from a foreig… https://t.co/p6JzuAWH4X,Senate Democrats,20,0.099,0.676,0.225,0.4215
6,Democrats,"There have been 11,400 people killed in the 114 days since the House passed universal background checks legislation… https://t.co/50DXFKtaxQ",Senate Democrats,19,0.2,0.8,0.0,-0.6705
7,Democrats,“Yet another example of the lengths to which Senate Majority Leader Mitch McConnell and crew will reach to provide… https://t.co/b7c5GfZF7E,Senate Democrats,20,0.0,0.945,0.055,0.0258
8,Democrats,"“Regardless of the president’s involvement, there can be no debate that Russia did, in fact, breach election system… https://t.co/0JcOxH8z3e",Senate Democrats,19,0.109,0.891,0.0,-0.296
9,Democrats,TUNE IN: @SenatorCarper and @SenSchumer lead @SenateDems to reject President @realDonaldTrump’s repeal of the Clean… https://t.co/rdxwWKUgfv,Senate Democrats,16,0.153,0.847,0.0,-0.4019
10,Democrats,This is what broken promises look like #GOPTaxScam https://t.co/sE1MhEaeTV,Senate Democrats,9,0.218,0.423,0.359,0.25
11,Democrats,.@BangorDailyNews : “If the administration and Republican leadership are in fact committed to protecting us from fu… https://t.co/FkkUkaHtYC,Senate Democrats,18,0.0,0.884,0.116,0.2732
12,Democrats,"Scathing @PDEditorial: Trump says he'd take foreign election help. 

Where's the GOP's outrage?
https://t.co/uTFiEzEtfr",Senate Democrats,14,0.183,0.667,0.15,-0.1531
13,Democrats,We know that right now President @realDonaldTrump’s administration is fighting in court to end our health care law… https://t.co/AhDfs1NsAk,Senate Democrats,19,0.11,0.749,0.141,0.1779
14,Democrats,Senate Democrats will not stand by while @SenateMajLdr McConnell tries to bury election security in his legislative… https://t.co/ayaQmrQgn5,Senate Democrats,18,0.0,0.876,0.124,0.34
15,Democrats,"“When your car is totaled, you can't fix the windshield and expect to start driving.”

- @PattyMurray lays out how… https://t.co/ZdiieIUHCL",Senate Democrats,21,0.0,1.0,0.0,0.0
16,Democrats,"Instead of bringing up bipartisan bills, @SenateMajLdr McConnell has turned the Senate into a legislative graveyard… https://t.co/HP4Cj0ebC7",Senate Democrats,17,0.0,1.0,0.0,0.0
17,Democrats,"“Too bad that two of the people in a key position to make things happen — or, in this case, keep them from happenin… https://t.co/7RXi0zPwOM",Senate Democrats,25,0.137,0.863,0.0,-0.5423
18,Democrats,This month is the 100th anniversary of the 19th Amendment passage in the Senate to guarantee women the right to vot… https://t.co/a0SWJZfaFg,Senate Democrats,22,0.0,0.913,0.087,0.25
19,Democrats,"Today marks four years since the Emanuel AME Church shooting in Charleston, South Carolina. 
 
These kinds of trage… https://t.co/YZFL0giua1",Senate Democrats,19,0.0,1.0,0.0,0.0
20,Democrats,"To all of the dads out there, today we say thank you.
 
Happy #FathersDay.",Senate Democrats,14,0.0,0.659,0.341,0.7351
21,Democrats,"Senate Democrats adamantly oppose the Trump administration’s citizenship question, and will not stand for the racia… https://t.co/5RnAw6NMXL",Senate Democrats,17,0.0,1.0,0.0,0.0
22,Democrats,"This week, we asked to pass a bill to restore #NetNeutrality and #SaveTheInternet.

Republican’s objected. 

Why do… https://t.co/9TkYqtRIbI",Senate Democrats,18,0.0,0.879,0.121,0.296
23,Democrats,Must watch:  FCC Commissioner @JRosenworcel sets the record straight on the need for #NetNeutrality and the benefit… https://t.co/mzT3wAQMD7,Senate Democrats,18,0.0,0.899,0.101,0.2263
24,Democrats,"You’re going to want to see this:
 
@SenMarkey, @SenatorCantwell, and @RonWyden asked to pass a bill to restore… https://t.co/3oK1srQ1GH",Senate Democrats,19,0.0,0.929,0.071,0.0772
25,Democrats,"❌ Protecting Health Care
❌ Net Neutrality 
❌ Election Security
❌ The Violence Against Women Act 

What will it take… https://t.co/5g8KMo5MPK",Senate Democrats,21,0.173,0.591,0.236,0.128
26,Democrats,Republicans like @SenateMajLdr McConnell promised their tax giveaway to the wealthiest few would MORE THAN pay for… https://t.co/nFg6IUuWF0,Senate Democrats,18,0.097,0.57,0.334,0.7027
27,Democrats,"We can’t let @SenateMajLdr McConnell just leave #NetNeutrality in his legislative graveyard.
 
Watch Senate Democra… https://t.co/sAFEZEheEx",Senate Democrats,16,0.195,0.805,0.0,-0.34
28,Democrats,"June is LGBTQ #Pride Month, Alzheimer’s and Brain Awareness Month, National Gun Violence Awareness Month, and so mu… https://t.co/pReH9ZLxok",Senate Democrats,19,0.277,0.723,0.0,-0.7579
29,Democrats,"Why won't @SenateMajLdr McConnell bring any of this needed legislation to the Senate floor? 

❌ Protecting Health C… https://t.co/F7Cn3gXOFc",Senate Democrats,19,0.0,1.0,0.0,0.0
30,Democrats,"One year ago, @realDonaldTrump’s administration stated in court that they want to end protections for Americans wit… https://t.co/BGsehUoCG1",Senate Democrats,18,0.0,0.929,0.071,0.0772
31,Democrats,"The mourning after a mass shooting is a feeling America knows all too well.

Which is why Senate Democrats are dema… https://t.co/vjLY3Dm70d",Senate Democrats,22,0.123,0.723,0.153,-0.0772
32,Democrats,"""Congress must work together to protect our democracy and reassure Americans that their votes will be counted in 20… https://t.co/GKSJjKjPE4",Senate Democrats,20,0.0,0.783,0.217,0.6124
33,Democrats,"On Friday evening, the American people learned of yet another mass shooting—this time, in Virginia Beach. 
 
Gun vi… https://t.co/b7ZEzlJWHj",Senate Democrats,19,0.118,0.882,0.0,-0.34
34,Democrats,"“On all the big issues of the day:
❌ Climate Change
❌ Health Care
❌ Voting Rights
❌ Election Security
 
The Senate… https://t.co/WVmOxJ1pwU",Senate Democrats,23,0.0,0.752,0.248,0.6808
35,Democrats,"The Affordable Care Act helped reduce inequity within our country.

But the Trump admin and the GOP have continuous… https://t.co/ERjPbZ3SgR",Senate Democrats,20,0.0,0.856,0.144,0.4939
36,Democrats,"Huge corporations paid $91 billion less in taxes last year, while individuals paid nearly $100 billion more. 

The… https://t.co/Agmq6fb1IP",Senate Democrats,19,0.0,0.887,0.113,0.3182
37,Democrats,"It’s June 1st which means the start to #PrideMonth. 

This month and every month we celebrate the strength, resilie… https://t.co/GroV8OG119",Senate Democrats,20,0.0,0.723,0.277,0.7845
38,Democrats,"To those who gave all:

We salute you.
We honor you.
We owe you and your families a debt we can never repay.

That… https://t.co/laAbEwL1QL",Senate Democrats,25,0.09,0.794,0.116,0.1779
39,Democrats,"As if @SenateMajLdr McConnell’s legislative graveyard isn’t full enough. 

Watch as the Senate GOP rejects bill aft… https://t.co/6qfJ7zv5Al",Senate Democrats,18,0.252,0.748,0.0,-0.6597
40,Democrats,"More than 120 bills passed by the House are awaiting action in the Senate, including: 

VAWA
Background Checks… https://t.co/7Mrv1ldFsT",Senate Democrats,19,0.0,1.0,0.0,0.0
41,Democrats,“You expect your elected officials to take action on legislation that will make your family’s life better. Senate D… https://t.co/j84hhwtVsi,Senate Democrats,20,0.0,0.868,0.132,0.4404
42,Democrats,VAWA improves &amp; expands protections to those who are survivors of domestic violence at the hands of domestic or for… https://t.co/va9qChMlHa,Senate Democrats,21,0.156,0.684,0.16,-0.2263
43,Democrats,Our healthcare system – including protections for pre-existing conditions - is under attack from the Trump administ… https://t.co/GeE7LLXOY8,Senate Democrats,18,0.171,0.829,0.0,-0.4767
44,Democrats,"The House-passed Violence Against Women Act improves legal protections for survivors of domestic abuse, assault, an… https://t.co/FIuRjZmElZ",Senate Democrats,17,0.426,0.423,0.151,-0.8689
45,Democrats,WATCH: Senate Democrats took to the Senate floor today with a simple message: #StopTheBans https://t.co/O6R8Xcp8LC,Senate Democrats,15,0.0,1.0,0.0,0.0
