,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Republican,Listen and learn @AOC https://t.co/nq5CMyu8NT,LIz Cheney,5,0.0,1.0,0.0,0.0
1,Republican,Happy to help educate you @AOC. You could start with the ⁦@yadvashem⁩ survivor testimonies. I also recommend Night… https://t.co/STb2D64IDr,LIz Cheney,19,0.0,0.551,0.449,0.886
2,Republican,Please @AOC do us all a favor and spend just a few minutes learning some actual history. 6 million Jews were exterm… https://t.co/TOd3OsXkmq,LIz Cheney,23,0.0,0.783,0.217,0.6124
3,Republican,No place like it in the world #ThatsWy #GodsCountry https://t.co/qOxBmxlUr9,LIz Cheney,10,0.173,0.63,0.197,0.0772
4,Republican,Cheers to the world’s greatest dad! #HappyFathersDay2019 https://t.co/gwo1RizIIY,LIz Cheney,8,0.0,0.441,0.559,0.8221
5,Republican,"While Russia violates arms control agreements to modernize and improve their nuclear forces, @HouseDemocrats are wo… https://t.co/DmLq8yacQ1",LIz Cheney,17,0.148,0.628,0.224,0.1779
6,Republican,Great to be with @HouseGOP colleagues supporting @YoungKimCA who will be a terrific addition to our conference. Tha… https://t.co/00as6JqBIA,LIz Cheney,19,0.0,0.598,0.402,0.8779
7,Republican,Weekend reading for America’s socialists ⁦@SenSanders⁩ ⁦@ewarren⁩ ⁦@AOC “Even Showers Are A Luxury in Venezuela Now… https://t.co/hcOykd3s8y,LIz Cheney,17,0.0,1.0,0.0,0.0
8,Republican,"“It is good to be reminded that there are such men, that there always have been, and always will be... you can manu… https://t.co/D8grzmeLFl",LIz Cheney,24,0.0,0.888,0.112,0.4404
9,Republican,"40 years ago today, John Paul II arrived back in his native Poland. Confronting the communist government, he preach… https://t.co/7LcXLV08P9",LIz Cheney,20,0.078,0.922,0.0,-0.1531
10,Republican,This is who the Houthis really are - despite what they say in @washingtonpost https://t.co/HWG6YB5tzJ,LIz Cheney,15,0.0,1.0,0.0,0.0
11,Republican,"Yes, @ChrisCuomo, in America we believe women should be able to defend themselves. And we know the #SecondAmendment… https://t.co/eQeimXShCF",LIz Cheney,19,0.0,0.87,0.13,0.4019
12,Republican,On this #ArmedForcesDay- and every day-we honor the members of the United States military to whom we owe our freedo… https://t.co/EDUlzFh6Uz,LIz Cheney,21,0.0,0.76,0.24,0.7184
13,Republican,I am deeply sorry for our nation that the House Democratic leadership continues to enable the anti-Semitism in thei… https://t.co/xUj7kBckvO,LIz Cheney,20,0.081,0.919,0.0,-0.1513
14,Republican,"Here’s @RepRashida direct quote, “There’s a calming feeling I always tell folks when I think of the Holocaust.” And… https://t.co/dlFp7GB44w",LIz Cheney,20,0.0,0.781,0.219,0.4939
15,Republican,Surely now @SpeakerPelosi⁩ &amp; ⁦@LeaderHoyer⁩ will finally take action against vile anti-Semitism in their ranks. Thi… https://t.co/4FD2iRnF7x,LIz Cheney,17,0.186,0.682,0.132,-0.296
16,Republican,Happy Mother’s Day to my amazing mom ❤️ https://t.co/8ISIg4pmrC,LIz Cheney,9,0.0,0.483,0.517,0.8176
17,Republican,"No surprise @IlhanMN, an anti-Semitic Socialist who slanders US troops and carries water for Hamas and Maduro, does… https://t.co/KyByfjwXcy",LIz Cheney,19,0.103,0.798,0.099,-0.0258
18,Republican,"1. Hamas controls Gaza.
2. Hamas is firing rockets at civilians in Israel. 3. @IlhanMN is defending Hamas. Real que… https://t.co/75N60B8wOr",LIz Cheney,21,0.107,0.893,0.0,-0.34
19,Republican,Allowing Huawei to build UK 5G network would be indefensible &amp; dangerous and put at risk crucial American/UK intell… https://t.co/0eCvor0r1c,LIz Cheney,20,0.224,0.776,0.0,-0.6369
20,Republican,America’s Arms Control efforts must reflect the reality of today’s world. Russia &amp; China have been engaged in an ar… https://t.co/huonClBK6M,LIz Cheney,21,0.0,0.881,0.119,0.4019
21,Republican,If you read only one thing today: “And I remember shouting the words “Am Yisrael Chai! The people of Israel live!”… https://t.co/vgjVhIL6JH,LIz Cheney,22,0.0,1.0,0.0,0.0
22,Republican,This afternoon on the way to Laramie. Abraham Lincoln + highest point on I-80 + that sky #ThatsWyo https://t.co/7cHVpbaulq,LIz Cheney,19,0.0,1.0,0.0,0.0
23,Republican,Coming soon: ⁦@KamalaHarris⁩ and ⁦@BernieSanders⁩ launch their “Absentee ballots for al Qaeda” program. https://t.co/Cf99OGo9zN,LIz Cheney,14,0.0,1.0,0.0,0.0
24,Republican,"Jesus said to her, “I am the resurrection and the life.Whoever believes in me, though he die, yet shall he live, an… https://t.co/QsKVBnPzht",LIz Cheney,23,0.151,0.849,0.0,-0.5994
