,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Republican,Take the survey 👉 https://t.co/6cc11qs1eQ,Ted Cruz,5,0.0,1.0,0.0,0.0
1,Republican,ICYMI | Fox News: Cruz bill would use Iran sanctions cash to pay for downed US drone https://t.co/GFEIcjcxyK #TXSen,Ted Cruz,19,0.076,0.924,0.0,-0.1027
2,Republican,"In Washington, there is a bipartisan problem of career politicians in both parties that go to Congress and stay the… https://t.co/HHf3WZny8x",Ted Cruz,21,0.115,0.769,0.115,0.0
3,Republican,ICYMI from @thetexannews: Senator Ted Cruz Holds Hearing on Congressional Term Limits https://t.co/0atpGGM6SC #TXSen,Ted Cruz,14,0.0,1.0,0.0,0.0
4,Republican,The case for term limits is essentially the case for draining the swamp: https://t.co/6xuABnifUN #TXSen,Ted Cruz,15,0.0,1.0,0.0,0.0
5,Republican,Wow.  Leftist activists:  Cheering for #AbolishICE  How messed up is it that there are parades celebrating abolishi… https://t.co/riQvOJVcIB,Ted Cruz,18,0.088,0.515,0.397,0.8555
6,Republican,My prayers go out to all the great men and women at Philadelphia Energy Solutions. Very thankful no one was injured last night.,Ted Cruz,23,0.152,0.499,0.349,0.7727
7,Republican,Hold the vote on a clean resolution to #CondemnAntisemitism  in the House --&gt; https://t.co/pwsXznJfwY,Ted Cruz,14,0.0,0.816,0.184,0.4019
8,Republican,"Always take the high road, Claire.... https://t.co/2bLoOtI88e",Ted Cruz,7,0.0,1.0,0.0,0.0
9,Republican,"Trivia Q: what do @SenMikeLee and Kim Kardashian have in common?  

.

.

.

.

A: They’ve both appeared on Keeping… https://t.co/TAhMYy8nxc",Ted Cruz,22,0.0,1.0,0.0,0.0
10,Republican,"“Boycotts and other attacks on the livelihood of Jews have been part of antisemitism for centuries, and BDS is one… https://t.co/zG0zuRz4fJ",Ted Cruz,21,0.122,0.802,0.076,-0.2732
11,Republican,"""Sen. Cruz said that his own support for term limits has grown 'a thousand times more' after serving in the Senate.… https://t.co/ZOjbhLDoGh",Ted Cruz,22,0.0,0.886,0.114,0.4019
12,Republican,"ICYMI: ""Senator Ted Cruz’s ongoing investigation into Yale Law School over its treatment of Christians and conserva… https://t.co/GdZ54sYk66",Ted Cruz,18,0.0,1.0,0.0,0.0
13,Republican,@DavidAFrench I can’t believe it took you this long,Ted Cruz,9,0.0,1.0,0.0,0.0
14,Republican,"Enough is enough. 

The House of Representatives should hold a vote on a clean resolution to #CondemnAntisemitism!… https://t.co/GMM2rZUZAD",Ted Cruz,18,0.0,0.834,0.166,0.4574
15,Republican,"As we commemorate the long-overdue announcement of emancipation made 154 years ago in Texas, let us together, in th… https://t.co/nT1a0OWktS",Ted Cruz,20,0.0,1.0,0.0,0.0
16,Republican,"First Whataburger, now this?

Where does it end? https://t.co/keo54lEfFp",Ted Cruz,9,0.0,1.0,0.0,0.0
17,Republican,ICYMI | Daily Wire: Ted Cruz Proposes Important Amendment To Finally End Iran’s Civil-Nuclear Waivers https://t.co/j8fp73ynhq #TXSen,Ted Cruz,17,0.0,0.893,0.107,0.2023
18,Republican,ICYMI | KTSA: Cruz Continues Push For Congressional Term Limits https://t.co/jR1q5uQCoy #TXSen,Ted Cruz,12,0.0,1.0,0.0,0.0
19,Republican,This is crap. https://t.co/lM25IaBlIT,Ted Cruz,4,0.464,0.536,0.0,-0.3818
20,Republican,"So you’re saying you’re going to spend a massive amount of money, attract fawning press &amp; Hollywood attention, and… https://t.co/mOhqJgoqcB",Ted Cruz,20,0.0,0.878,0.122,0.3612
21,Republican,Is John Cusack one of the freshmen trio of Dem women?  I’m sensing a pattern.... https://t.co/NLAC4pFiZW,Ted Cruz,16,0.0,1.0,0.0,0.0
22,Republican,https://t.co/lCrvesQlck https://t.co/onmgGr9jH5,Ted Cruz,2,0.0,1.0,0.0,0.0
23,Republican,"Do big tech companies need to be more transparent? 

VOTE --&gt; https://t.co/wdo7oEHIVa",Ted Cruz,12,0.0,1.0,0.0,0.0
